ID,Policy,Passenger Count,Trip Count,Profit,Fuel Efficiency
1,1,61,41,282,0.297561
2,2,62,23,436,0.53913
3,3,51,17,374,0.6
4,4,36,9,288,0.8
5,5,35,7,294,1
6,1,49,33,226,0.29697
7,2,50,23,316,0.434783
8,3,48,15,360,0.64
9,4,46,11,372,0.836364
10,5,45,9,378,1
11,1,65,40,330,0.325
12,2,51,22,334,0.463636
13,3,39,12,294,0.65
14,4,41,10,330,0.82
15,5,60,12,504,1
16,1,84,60,360,0.28
17,2,63,26,422,0.484615
18,3,46,14,348,0.657143
19,4,48,12,384,0.8
20,5,45,9,378,1
