ID,Policy,Passenger Count,Trip Count,Profit,Fuel Efficiency
1,1,60,47,224,0.255319
2,2,51,23,326,0.443478
3,3,39,13,286,0.6
4,4,60,15,480,0.8
5,5,45,9,378,1
6,1,70,47,324,0.297872
7,2,47,23,286,0.408696
8,3,39,13,286,0.6
9,4,37,9,298,0.822222
10,5,35,7,294,1
11,1,89,56,442,0.317857
12,2,54,24,348,0.45
13,3,37,12,274,0.616667
14,4,40,10,320,0.8
15,5,30,6,252,1
16,1,85,60,370,0.283333
17,2,56,24,368,0.466667
18,3,38,12,284,0.633333
19,4,44,10,360,0.88
20,5,40,8,336,1
