ID,Policy,Passenger Count,Trip Count,Profit,Fuel Efficiency
1,1,68,53,256,0.256604
2,2,41,19,258,0.431579
3,3,53,17,394,0.623529
4,4,53,13,426,0.815385
5,5,35,7,294,1
6,1,62,49,228,0.253061
7,2,83,27,614,0.614815
8,3,47,15,350,0.626667
9,4,54,13,436,0.830769
10,5,45,9,378,1
11,1,42,38,116,0.221053
12,2,67,27,454,0.496296
13,3,36,12,264,0.6
14,4,49,12,394,0.816667
15,5,45,9,378,1
16,1,72,42,384,0.342857
17,2,39,18,246,0.433333
18,3,65,20,490,0.65
19,4,58,14,468,0.828571
20,5,50,10,420,1
