Arrival Mean,Service Mean,Traffic Intensity,Max Delay,Average Delay,Max Queue Length,Average Queue Length,Busy Ratio,Idle Ratio,Total Runtime
5,0.75,0.05,3.80616,0.736376,1.06667,0.0193791,0.048673,0.951327,516.152
5,1.5,0.1,7.44201,1.46349,1.56667,0.0613636,0.0947914,0.905209,548.47
5,2.25,0.15,11.7754,2.22922,2.13333,0.128792,0.145523,0.854477,571.109
5,3,0.2,15.7471,3.11701,2.23333,0.211214,0.202292,0.797708,619.697
5,3.75,0.25,19.1532,3.66203,5.76667,0.748669,0.257265,0.742735,645.237
5,4.5,0.3,29.3744,4.47744,19.4,4.36719,0.364106,0.635894,701.288
5,5.25,0.35,39.6651,5.77966,58.4333,19.8303,0.498399,0.501601,738.017
5,6,0.4,51.2406,6.81912,92.5,33.2524,0.642954,0.357046,763.822
5,6.75,0.45,66.5792,8.08108,111.533,38.2077,0.701345,0.298655,840.413
5,7.5,0.5,74.3047,9.14317,136.767,50.5894,0.776659,0.223341,883.551
5,8.25,0.55,111.393,12.4838,180.167,67.2281,0.871847,0.128153,961.441
5,9,0.6,125.32,13.8144,184.1,74.7491,0.887224,0.112776,990.365
5,9.75,0.65,128.192,14.9596,199.067,82.0148,0.907173,0.092827,1072.39
5,10.5,0.7,141.287,16.7792,199.9,84.0613,0.915091,0.0849088,1133.31
5,11.25,0.75,164.675,18.8583,211.833,90.8115,0.934462,0.0655375,1195.33
5,12,0.8,162.087,20.5194,220.3,97.7692,0.945806,0.0541942,1258.99
5,12.75,0.85,187.645,22.3407,228.533,101.135,0.952265,0.0477347,1349.25
5,13.5,0.9,207.361,24.0907,228.033,99.5292,0.948141,0.0518594,1417.8
5,14.25,0.95,203.5,25.0885,232.333,104.465,0.958995,0.0410051,1458.98
