Arrival Mean,Service Mean,Traffic Intensity,Max Delay,Average Delay,Max Queue Length,Average Queue Length,Busy Ratio,Idle Ratio,Total Runtime
5,0.75,0.05,3.65211,0.734194,1.16667,0.0171854,0.0493493,0.950651,518.614
5,1.5,0.1,7.89237,1.4879,1.53333,0.0665183,0.0998316,0.900168,531.286
5,2.25,0.15,10.7599,2.24264,1.93333,0.132033,0.14981,0.85019,561.03
5,3,0.2,14.4157,2.97162,2.06667,0.196547,0.197052,0.802948,607.899
5,3.75,0.25,21.1278,3.72477,2.46667,0.278649,0.242226,0.757774,653.336
5,4.5,0.3,25.4563,4.57289,2.96667,0.369091,0.296039,0.703961,713.266
5,5.25,0.35,29.4614,5.48113,4.16667,0.508837,0.350174,0.649826,782.632
5,6,0.4,34.2621,6.15801,4.1,0.584352,0.395,0.605,822.575
5,6.75,0.45,39.3548,7.12121,4.93333,0.74592,0.452242,0.547758,917.694
5,7.5,0.5,40.7069,7.46741,5.43333,0.828114,0.480381,0.519619,928.754
5,8.25,0.55,46.1583,8.42604,6.8,1.04169,0.534019,0.465981,990.044
5,9,0.6,49.6648,9.05208,7.63333,1.28647,0.581154,0.418846,1071.8
5,9.75,0.65,56.8385,10.0474,9.36667,1.75339,0.651151,0.348849,1106.63
5,10.5,0.7,70.0692,11.0515,9.96667,2.02334,0.685439,0.314561,1197.63
5,11.25,0.75,70.2617,11.4761,10.3,2.42439,0.738533,0.261467,1216.33
5,12,0.8,73.803,12.2463,13.6,3.40462,0.76974,0.23026,1279.46
5,12.75,0.85,88.8559,13.6373,15.8333,4.72646,0.830923,0.169077,1336.57
5,13.5,0.9,106.66,15.2957,20.7667,6.95072,0.871606,0.128394,1407.57
5,14.25,0.95,131.247,17.0734,20.8667,7.01609,0.865758,0.134242,1434.48
