ID,Policy,Passenger Count,Trip Count,Profit,Fuel Efficiency
1,1,115,87,628,0.264368
2,2,99,45,720,0.44
3,3,105,33,849,0.636364
4,4,109,27,931,0.807407
5,5,105,21,925,1
6,1,125,96,672,0.260417
7,2,119,50,890,0.476
8,3,116,36,946,0.644444
9,4,139,34,1186,0.817647
10,5,95,19,835,1
