ID,Policy,Passenger Count,Trip Count,Profit,Fuel Efficiency
1,1,116,78,690,0.297436
2,2,136,54,1037,0.503704
3,3,101,32,818,0.63125
4,4,113,27,967,0.837037
5,5,90,18,792,1
6,1,94,68,532,0.276471
7,2,87,37,647,0.47027
8,3,131,41,1065,0.639024
9,4,102,25,869,0.816
10,5,95,19,837,1
