ID,Policy,Passenger Count,Trip Count,Profit,Fuel Efficiency
1,1,140,86,884,0.325581
2,2,93,39,696,0.476923
3,3,114,36,926,0.633333
4,4,90,22,768,0.818182
5,5,95,19,835,1
6,1,104,76,582,0.273684
7,2,124,52,928,0.476923
8,3,107,33,873,0.648485
9,4,113,27,969,0.837037
10,5,100,20,880,1
