ID,Policy,Passenger Count,Trip Count,Profit,Fuel Efficiency
1,1,122,91,673,0.268132
2,2,112,47,837,0.476596
3,3,104,33,841,0.630303
4,4,112,27,959,0.82963
5,5,110,22,966,1
6,1,115,86,638,0.267442
7,2,122,50,921,0.488
8,3,135,42,1098,0.642857
9,4,91,22,777,0.827273
10,5,110,22,965,1
