ID,Policy,Passenger Count,Trip Count,Profit,Fuel Efficiency
1,1,119,89,654,0.267416
2,2,117,49,873,0.477551
3,3,90,29,723,0.62069
4,4,101,25,860,0.808
5,5,105,21,923,1
6,1,111,88,583,0.252273
7,2,108,44,815,0.490909
8,3,111,36,892,0.616667
9,4,97,24,826,0.808333
10,5,80,16,703,1
