ID,Policy,Passenger Count,Trip Count,Profit,Fuel Efficiency
1,1,131,91,763,0.287912
2,2,109,46,812,0.473913
3,3,87,28,700,0.621429
4,4,103,25,878,0.824
5,5,85,17,748,1
6,1,130,92,747,0.282609
7,2,126,55,930,0.458182
8,3,114,35,930,0.651429
9,4,85,21,725,0.809524
10,5,100,20,878,1
