ID,Policy,Passenger Count,Trip Count,Profit,Fuel Efficiency
1,1,138,92,823,0.3
2,2,121,53,890,0.456604
3,3,98,30,800,0.653333
4,4,86,21,735,0.819048
5,5,105,21,923,1
6,1,136,105,730,0.259048
7,2,100,43,740,0.465116
8,3,110,35,889,0.628571
9,4,94,23,802,0.817391
10,5,100,20,881,1
