ID,Policy,Passenger Count,Trip Count,Profit,Fuel Efficiency
1,1,149,103,873,0.28932
2,2,105,43,789,0.488372
3,3,112,33,921,0.678788
4,4,86,21,735,0.819048
5,5,85,17,746,1
6,1,145,100,848,0.29
7,2,120,48,912,0.5
8,3,88,28,711,0.628571
9,4,83,20,710,0.83
10,5,90,18,792,1
