ID,CNG ID,Source,Destination,Arrival Time,Boarding Time,Trip Start Time,Departure Time,Queue Delay,Halting Delay,Road Delay,Waiting Time,Total Delay
1,16,Station Road,Kamarpara,0.388789,0.388789,0.488789,0.982019,0,0.1,0.49323,0.1,0.59323
4,1,Kamarpara,Station Road,1.16213,1.16213,1.26213,2.73716,0,0.1,1.47503,0.1,1.57503
5,1,Kamarpara,Station Road,1.21836,1.21836,1.26213,2.73716,0,0.0437731,1.47503,0.0437731,1.5188
13,16,Kamarpara,Station Road,7.24259,7.24259,7.34259,7.77016,0,0.1,0.427575,0.1,0.527575
17,6,Kamarpara,Station Road,8.64963,8.64963,8.74963,8.97248,0,0.1,0.222854,0.1,0.322854
6,12,Station Road,Kamarpara,2.20216,2.20216,7.79706,10.2419,0,5.59489,2.44481,5.59489,8.0397
14,12,Station Road,Kamarpara,7.69706,7.69706,7.79706,10.2419,0,0.1,2.44481,0.1,2.54481
24,1,Station Road,Kamarpara,13.8243,13.8243,13.9243,14.513,0,0.1,0.588642,0.1,0.688642
19,7,Kamarpara,Station Road,10.3343,10.3343,18.0402,19.2098,0,7.70586,1.16959,7.70586,8.87545
31,7,Kamarpara,Station Road,17.9402,17.9402,18.0402,19.2098,0,0.1,1.16959,0.1,1.26959
21,12,Kamarpara,Station Road,11.4337,11.4337,18.5088,19.3087,0,7.0751,0.799916,7.0751,7.87502
33,12,Kamarpara,Station Road,18.4088,18.4088,18.5088,19.3087,0,0.1,0.799916,0.1,0.899916
34,1,Kamarpara,Station Road,18.8145,18.8145,18.9145,19.8063,0,0.1,0.89175,0.1,0.99175
30,6,Station Road,Kamarpara,17.7441,17.7441,17.8441,19.8881,0,0.1,2.04402,0.1,2.14402
2,9,Kamarpara,Station Road,0.673922,0.673922,21.0401,22.296,0,20.3662,1.25582,20.3662,21.622
8,9,Kamarpara,Station Road,2.60588,2.60588,21.0401,22.296,0,18.4343,1.25582,18.4343,19.6901
26,9,Kamarpara,Station Road,14.6088,14.6088,21.0401,22.296,0,6.43138,1.25582,6.43138,7.6872
38,9,Kamarpara,Station Road,20.9401,20.9401,21.0401,22.296,0,0.1,1.25582,0.1,1.35582
9,4,Kamarpara,Station Road,4.18315,4.18315,23.1049,24.0582,0,18.9218,0.953264,18.9218,19.875
20,4,Kamarpara,Station Road,11.2844,11.2844,23.1049,24.0582,0,11.8205,0.953264,11.8205,12.7738
27,4,Kamarpara,Station Road,14.8866,14.8866,23.1049,24.0582,0,8.21831,0.953264,8.21831,9.17158
41,4,Kamarpara,Station Road,23.0049,23.0049,23.1049,24.0582,0,0.1,0.953264,0.1,1.05326
42,1,Station Road,Kamarpara,23.072,23.072,23.172,24.9193,0,0.1,1.74733,0.1,1.84733
45,6,Kamarpara,Station Road,24.082,24.082,24.182,25.1005,0,0.1,0.918505,0.1,1.0185
48,1,Kamarpara,Station Road,25.5869,25.5869,25.6869,26.4155,0,0.1,0.728637,0.1,0.828637
15,8,Kamarpara,Station Road,8.10835,8.10835,24.1231,26.9741,0,16.0147,2.85103,16.0147,18.8658
18,8,Kamarpara,Station Road,9.29149,9.29149,24.1231,26.9741,0,14.8316,2.85103,14.8316,17.6826
44,8,Kamarpara,Station Road,24.0231,24.0231,24.1231,26.9741,0,0.1,2.85103,0.1,2.95103
22,18,Station Road,Kamarpara,11.4706,11.4706,28.0491,28.1158,0,16.5785,0.0667515,16.5785,16.6452
40,18,Station Road,Kamarpara,22.2715,22.2715,28.0491,28.1158,0,5.77758,0.0667515,5.77758,5.84433
