ID,CNG ID,Source,Destination,Arrival Time,Boarding Time,Trip Start Time,Departure Time,Queue Delay,Halting Delay,Road Delay,Waiting Time,Total Delay
6,6,Kamarpara,Station Road,3.79563,3.79563,3.89563,5.17586,0,0.1,1.28023,0.1,1.38023
1,3,Kamarpara,Station Road,1.39582,1.39582,6.55645,7.35031,0,5.16063,0.793855,5.16063,5.95449
5,3,Kamarpara,Station Road,3.47779,3.47779,6.55645,7.35031,0,3.07866,0.793855,3.07866,3.87251
14,3,Kamarpara,Station Road,6.45645,6.45645,6.55645,7.35031,0,0.1,0.793855,0.1,0.893855
17,1,Kamarpara,Station Road,7.443,7.443,7.543,7.57112,0,0.1,0.0281223,0.1,0.128122
18,6,Station Road,Kamarpara,8.35019,8.35019,8.45019,9.07202,0,0.1,0.621822,0.1,0.721822
20,16,Station Road,Kamarpara,10.851,10.851,10.951,11.5432,0,0.1,0.592251,0.1,0.692251
28,6,Kamarpara,Station Road,16.2829,16.2829,16.3829,16.5977,0,0.1,0.21481,0.1,0.31481
13,8,Kamarpara,Station Road,6.42739,6.42739,15.9929,17.8413,0,9.56555,1.8484,9.56555,11.414
21,8,Kamarpara,Station Road,12.4888,12.4888,15.9929,17.8413,0,3.50413,1.8484,3.50413,5.35253
27,8,Kamarpara,Station Road,15.8929,15.8929,15.9929,17.8413,0,0.1,1.8484,0.1,1.9484
29,12,Station Road,Kamarpara,16.6616,16.6616,17.9745,18.327,0,1.3129,0.35249,1.3129,1.66539
33,12,Station Road,Kamarpara,17.8745,17.8745,17.9745,18.327,0,0.1,0.35249,0.1,0.45249
32,16,Kamarpara,Station Road,17.8011,17.8011,17.9011,18.4818,0,0.1,0.580725,0.1,0.680725
22,7,Kamarpara,Station Road,12.5977,12.5977,17.8257,20.3579,0,5.22806,2.53221,5.22806,7.76027
31,7,Kamarpara,Station Road,17.7257,17.7257,17.8257,20.3579,0,0.1,2.53221,0.1,2.63221
16,17,Station Road,Kamarpara,7.31061,7.31061,20.3694,20.5799,0,13.0588,0.210515,13.0588,13.2693
38,17,Station Road,Kamarpara,20.2694,20.2694,20.3694,20.5799,0,0.1,0.210515,0.1,0.310515
4,18,Station Road,Kamarpara,2.98604,2.98604,22.6165,22.7591,0,19.6304,0.142688,19.6304,19.7731
10,18,Station Road,Kamarpara,4.90926,4.90926,22.6165,22.7591,0,17.7072,0.142688,17.7072,17.8499
40,18,Station Road,Kamarpara,22.5165,22.5165,22.6165,22.7591,0,0.1,0.142688,0.1,0.242688
44,6,Station Road,Kamarpara,24.138,24.138,24.238,24.4588,0,0.1,0.22085,0.1,0.32085
35,12,Kamarpara,Station Road,19.854,19.854,23.822,25.5869,0,3.96797,1.7649,3.96797,5.73287
43,12,Kamarpara,Station Road,23.722,23.722,23.822,25.5869,0,0.1,1.7649,0.1,1.8649
7,5,Kamarpara,Station Road,4.07168,4.07168,24.4118,25.621,0,20.3401,1.2092,20.3401,21.5493
34,5,Kamarpara,Station Road,18.5601,18.5601,24.4118,25.621,0,5.85169,1.2092,5.85169,7.06089
37,5,Kamarpara,Station Road,20.098,20.098,24.4118,25.621,0,4.31373,1.2092,4.31373,5.52293
39,5,Kamarpara,Station Road,21.5865,21.5865,24.4118,25.621,0,2.82524,1.2092,2.82524,4.03445
45,5,Kamarpara,Station Road,24.3118,24.3118,24.4118,25.621,0,0.1,1.2092,0.1,1.3092
11,9,Kamarpara,Station Road,5.70318,5.70318,28.6907,28.9699,0,22.9875,0.279225,22.9875,23.2667
24,9,Kamarpara,Station Road,13.3796,13.3796,28.6907,28.9699,0,15.3111,0.279225,15.3111,15.5903
49,9,Kamarpara,Station Road,26.9614,26.9614,28.6907,28.9699,0,1.72931,0.279225,1.72931,2.00854
53,9,Kamarpara,Station Road,28.5907,28.5907,28.6907,28.9699,0,0.1,0.279225,0.1,0.379225
8,13,Station Road,Kamarpara,4.37677,4.37677,28.4184,29.1723,0,24.0416,0.753969,24.0416,24.7956
47,13,Station Road,Kamarpara,26.7558,26.7558,28.4184,29.1723,0,1.66253,0.753969,1.66253,2.4165
50,13,Station Road,Kamarpara,28.3184,28.3184,28.4184,29.1723,0,0.1,0.753969,0.1,0.853969
48,16,Station Road,Kamarpara,26.8955,26.8955,26.9955,29.2524,0,0.1,2.25687,0.1,2.35687
2,4,Kamarpara,Station Road,2.34665,2.34665,28.4681,30.255,0,26.1215,1.78685,26.1215,27.9083
15,4,Kamarpara,Station Road,6.55204,6.55204,28.4681,30.255,0,21.9161,1.78685,21.9161,23.7029
42,4,Kamarpara,Station Road,23.4176,23.4176,28.4681,30.255,0,5.05056,1.78685,5.05056,6.8374
51,4,Kamarpara,Station Road,28.3681,28.3681,28.4681,30.255,0,0.1,1.78685,0.1,1.88685
59,16,Kamarpara,Station Road,30.9766,30.9766,31.0766,31.2696,0,0.1,0.193032,0.1,0.293032
64,1,Station Road,Kamarpara,34.7996,34.7996,34.8996,35.2664,0,0.1,0.366782,0.1,0.466782
54,18,Kamarpara,Station Road,28.9181,28.9181,36.0907,37.2737,0,7.17264,1.18298,7.17264,8.35562
58,18,Kamarpara,Station Road,30.6767,30.6767,36.0907,37.2737,0,5.414,1.18298,5.414,6.59698
66,18,Kamarpara,Station Road,35.9907,35.9907,36.0907,37.2737,0,0.1,1.18298,0.1,1.28298
57,17,Kamarpara,Station Road,30.6616,30.6616,35.3505,37.4407,0,4.68889,2.09027,4.68889,6.77916
65,17,Kamarpara,Station Road,35.2505,35.2505,35.3505,37.4407,0,0.1,2.09027,0.1,2.19027
67,1,Kamarpara,Station Road,37.1095,37.1095,37.2095,37.6644,0,0.1,0.454829,0.1,0.554829
55,2,Kamarpara,Station Road,29.7689,29.7689,37.5263,37.923,0,7.75739,0.396757,7.75739,8.15415
69,2,Kamarpara,Station Road,37.4263,37.4263,37.5263,37.923,0,0.1,0.396757,0.1,0.496757
70,6,Kamarpara,Station Road,39.1033,39.1033,39.2033,39.2905,0,0.1,0.0872387,0.1,0.187239
3,19,Station Road,Kamarpara,2.48968,2.48968,32.7681,39.7393,0,30.2784,6.9712,30.2784,37.2496
9,19,Station Road,Kamarpara,4.82843,4.82843,32.7681,39.7393,0,27.9397,6.9712,27.9397,34.9109
25,19,Station Road,Kamarpara,13.3983,13.3983,32.7681,39.7393,0,19.3698,6.9712,19.3698,26.341
62,19,Station Road,Kamarpara,32.6681,32.6681,32.7681,39.7393,0,0.1,6.9712,0.1,7.0712
60,13,Kamarpara,Station Road,32.0435,32.0435,45.1281,45.8796,0,13.0846,0.751531,13.0846,13.8361
63,13,Kamarpara,Station Road,32.7218,32.7218,45.1281,45.8796,0,12.4062,0.751531,12.4062,13.1578
75,13,Kamarpara,Station Road,45.0281,45.0281,45.1281,45.8796,0,0.1,0.751531,0.1,0.851531
61,3,Station Road,Kamarpara,32.6128,32.6128,47.0164,47.0416,0,14.4037,0.0251607,14.4037,14.4288
74,3,Station Road,Kamarpara,43.834,43.834,47.0164,47.0416,0,3.18248,0.0251607,3.18248,3.20764
79,3,Station Road,Kamarpara,46.9164,46.9164,47.0164,47.0416,0,0.1,0.0251607,0.1,0.125161
19,10,Kamarpara,Station Road,8.95153,8.95153,47.2053,47.5305,0,38.2537,0.325227,38.2537,38.579
30,10,Kamarpara,Station Road,17.6659,17.6659,47.2053,47.5305,0,29.5394,0.325227,29.5394,29.8646
56,10,Kamarpara,Station Road,29.9375,29.9375,47.2053,47.5305,0,17.2678,0.325227,17.2678,17.593
77,10,Kamarpara,Station Road,46.7599,46.7599,47.2053,47.5305,0,0.445353,0.325227,0.445353,0.77058
80,10,Kamarpara,Station Road,47.1053,47.1053,47.2053,47.5305,0,0.1,0.325227,0.1,0.425227
81,11,Station Road,Kamarpara,47.4529,47.4529,47.5529,47.5993,0,0.1,0.0464362,0.1,0.146436
83,6,Station Road,Kamarpara,48.253,48.253,48.353,49.0291,0,0.1,0.676118,0.1,0.776118
84,11,Kamarpara,Station Road,48.4895,48.4895,48.5895,50.5294,0,0.1,1.93987,0.1,2.03987
82,3,Kamarpara,Station Road,47.6853,47.6853,50.3671,50.7941,0,2.6818,0.426985,2.6818,3.10879
85,3,Kamarpara,Station Road,49.2262,49.2262,50.3671,50.7941,0,1.14091,0.426985,1.14091,1.5679
87,3,Kamarpara,Station Road,50.2671,50.2671,50.3671,50.7941,0,0.1,0.426985,0.1,0.526985
91,6,Kamarpara,Station Road,52.2922,52.2922,52.3922,53.6953,0,0.1,1.30306,0.1,1.40306
72,19,Kamarpara,Station Road,42.6774,42.6774,55.411,56.5306,0,12.7336,1.11956,12.7336,13.8532
76,19,Kamarpara,Station Road,46.686,46.686,55.411,56.5306,0,8.72508,1.11956,8.72508,9.84464
94,19,Kamarpara,Station Road,54.2896,54.2896,55.411,56.5306,0,1.12145,1.11956,1.12145,2.24101
95,19,Kamarpara,Station Road,55.311,55.311,55.411,56.5306,0,0.1,1.11956,0.1,1.21956
73,12,Station Road,Kamarpara,43.2234,43.2234,56.6818,56.705,0,13.4584,0.0231385,13.4584,13.4815
97,12,Station Road,Kamarpara,56.5818,56.5818,56.6818,56.705,0,0.1,0.0231385,0.1,0.123138
96,12,Kamarpara,Station Road,56.0175,56.705,56.805,56.8699,0.687471,0.1,0.0649822,0.787471,0.852453
98,12,Kamarpara,Station Road,56.6042,56.705,56.805,56.8699,0.100776,0.1,0.0649822,0.200776,0.265758
12,20,Station Road,Kamarpara,5.81595,5.81595,63.1698,63.7966,0,57.3538,0.626851,57.3538,57.9807
26,20,Station Road,Kamarpara,15.2416,15.2416,63.1698,63.7966,0,47.9282,0.626851,47.9282,48.5551
41,20,Station Road,Kamarpara,23.0068,23.0068,63.1698,63.7966,0,40.163,0.626851,40.163,40.7898
88,20,Station Road,Kamarpara,51.465,51.465,63.1698,63.7966,0,11.7048,0.626851,11.7048,12.3316
105,20,Station Road,Kamarpara,63.0698,63.0698,63.1698,63.7966,0,0.1,0.626851,0.1,0.726851
78,2,Station Road,Kamarpara,46.8547,46.8547,63.8788,64.0617,0,17.0241,0.182967,17.0241,17.2071
106,2,Station Road,Kamarpara,63.7788,63.7788,63.8788,64.0617,0,0.1,0.182967,0.1,0.282967
99,20,Kamarpara,Station Road,57.8301,63.7966,64.1029,64.5787,5.96656,0.30628,0.475807,6.27284,6.74864
102,20,Kamarpara,Station Road,62.0222,63.7966,64.1029,64.5787,1.77437,0.30628,0.475807,2.08065,2.55645
103,20,Kamarpara,Station Road,62.4698,63.7966,64.1029,64.5787,1.32678,0.30628,0.475807,1.63306,2.10886
104,20,Kamarpara,Station Road,62.6443,63.7966,64.1029,64.5787,1.15227,0.30628,0.475807,1.45855,1.93436
107,20,Kamarpara,Station Road,64.0029,64.0029,64.1029,64.5787,0,0.1,0.475807,0.1,0.575807
108,6,Station Road,Kamarpara,65.2632,65.2632,65.3632,65.869,0,0.1,0.505859,0.1,0.605859
109,2,Kamarpara,Station Road,65.663,65.663,67.3085,67.7528,0,1.64552,0.444335,1.64552,2.08986
110,2,Kamarpara,Station Road,67.2085,67.2085,67.3085,67.7528,0,0.1,0.444335,0.1,0.544335
112,6,Kamarpara,Station Road,69.2051,69.2051,69.3051,71.4907,0,0.1,2.18561,0.1,2.28561
111,16,Station Road,Kamarpara,69.16,69.16,69.26,71.9723,0,0.1,2.71233,0.1,2.81233
