ID,CNG ID,Source,Destination,Arrival Time,Boarding Time,Trip Start Time,Departure Time,Queue Delay,Halting Delay,Road Delay,Waiting Time,Total Delay
5,16,Station Road,Kamarpara,4.87639,4.87639,4.97639,5.78575,0,0.1,0.809356,0.1,0.909356
9,1,Kamarpara,Station Road,6.35983,6.35983,6.45983,6.94123,0,0.1,0.481401,0.1,0.581401
18,16,Kamarpara,Station Road,11.7538,11.7538,11.8538,13.4924,0,0.1,1.63859,0.1,1.73859
19,16,Kamarpara,Station Road,11.7727,11.7727,11.8538,13.4924,0,0.0811398,1.63859,0.0811398,1.71973
23,16,Station Road,Kamarpara,14.9762,14.9762,15.0762,16.3295,0,0.1,1.25333,0.1,1.35333
21,3,Kamarpara,Station Road,14.6039,14.6039,18.8786,19.9293,0,4.27478,1.05068,4.27478,5.32546
27,3,Kamarpara,Station Road,17.0624,17.0624,18.8786,19.9293,0,1.81629,1.05068,1.81629,2.86698
28,3,Kamarpara,Station Road,18.7786,18.7786,18.8786,19.9293,0,0.1,1.05068,0.1,1.15068
30,11,Station Road,Kamarpara,19.7154,19.7154,19.8154,20.719,0,0.1,0.903562,0.1,1.00356
15,17,Station Road,Kamarpara,11.0737,11.0737,20.3829,21.6129,0,9.30913,1.23005,9.30913,10.5392
31,17,Station Road,Kamarpara,20.2829,20.2829,20.3829,21.6129,0,0.1,1.23005,0.1,1.33005
3,9,Kamarpara,Station Road,2.65326,2.65326,21.7025,21.8936,0,19.0492,0.191119,19.0492,19.2404
11,9,Kamarpara,Station Road,8.40171,8.40171,21.7025,21.8936,0,13.3008,0.191119,13.3008,13.4919
24,9,Kamarpara,Station Road,15.0746,15.0746,21.7025,21.8936,0,6.62792,0.191119,6.62792,6.81904
35,9,Kamarpara,Station Road,21.6025,21.6025,21.7025,21.8936,0,0.1,0.191119,0.1,0.291119
10,12,Station Road,Kamarpara,7.65028,7.65028,22.5754,23.0597,0,14.9251,0.484263,14.9251,15.4094
37,12,Station Road,Kamarpara,22.4754,22.4754,22.5754,23.0597,0,0.1,0.484263,0.1,0.584263
33,11,Kamarpara,Station Road,20.9271,20.9271,21.0271,23.5282,0,0.1,2.50107,0.1,2.60107
41,16,Kamarpara,Station Road,25.4616,25.4616,25.5616,27.1081,0,0.1,1.54642,0.1,1.64642
48,1,Station Road,Kamarpara,27.2186,27.2186,27.3186,28.5435,0,0.1,1.22496,0.1,1.32496
46,16,Station Road,Kamarpara,27.1175,27.1175,27.2175,29.1146,0,0.1,1.89703,0.1,1.99703
2,18,Station Road,Kamarpara,2.09888,2.09888,26.9088,29.1673,0,24.8099,2.25849,24.8099,27.0684
34,18,Station Road,Kamarpara,21.2795,21.2795,26.9088,29.1673,0,5.62924,2.25849,5.62924,7.88773
44,18,Station Road,Kamarpara,26.8088,26.8088,26.9088,29.1673,0,0.1,2.25849,0.1,2.35849
54,1,Kamarpara,Station Road,30.6617,30.6617,30.7617,31.0005,0,0.1,0.238867,0.1,0.338867
4,20,Station Road,Kamarpara,2.84484,2.84484,32.5439,32.724,0,29.6991,0.1801,29.6991,29.8792
14,20,Station Road,Kamarpara,10.5892,10.5892,32.5439,32.724,0,21.9547,0.1801,21.9547,22.1348
29,20,Station Road,Kamarpara,18.9708,18.9708,32.5439,32.724,0,13.5731,0.1801,13.5731,13.7532
39,20,Station Road,Kamarpara,23.2928,23.2928,32.5439,32.724,0,9.25114,0.1801,9.25114,9.43124
56,20,Station Road,Kamarpara,32.4439,32.4439,32.5439,32.724,0,0.1,0.1801,0.1,0.2801
42,7,Kamarpara,Station Road,25.4915,25.4915,32.2408,32.7812,0,6.74934,0.540408,6.74934,7.28975
55,7,Kamarpara,Station Road,32.1408,32.1408,32.2408,32.7812,0,0.1,0.540408,0.1,0.640408
50,12,Kamarpara,Station Road,28.786,28.786,33.7441,34.3755,0,4.95817,0.631331,4.95817,5.5895
58,12,Kamarpara,Station Road,33.6441,33.6441,33.7441,34.3755,0,0.1,0.631331,0.1,0.731331
62,6,Kamarpara,Station Road,34.532,34.532,34.632,34.7104,0,0.1,0.0783535,0.1,0.178353
63,16,Kamarpara,Station Road,34.5496,34.5496,34.6496,35.1205,0,0.1,0.470904,0.1,0.570904
45,2,Kamarpara,Station Road,26.8716,26.8716,33.9391,35.5753,0,7.06748,1.63619,7.06748,8.70367
60,2,Kamarpara,Station Road,33.8391,33.8391,33.9391,35.5753,0,0.1,1.63619,0.1,1.73619
20,8,Kamarpara,Station Road,13.8545,13.8545,35.366,36.9515,0,21.5115,1.58554,21.5115,23.097
57,8,Kamarpara,Station Road,32.4935,32.4935,35.366,36.9515,0,2.87254,1.58554,2.87254,4.45808
